datetime,open,high,low,close,tick_volume,spread,real_volume,volume
2025-10-22T19:00:00Z,1.16092,1.16113,1.16049,1.16059,1210,0,0,1210
2025-10-22T20:00:00Z,1.16058,1.1611,1.16058,1.1609,714,0,0,714
2025-10-22T21:00:00Z,1.1608100000000001,1.16124,1.1608,1.16124,413,0,0,413
2025-10-22T22:00:00Z,1.16124,1.16146,1.16112,1.16124,455,0,0,455
2025-10-22T23:00:00Z,1.16126,1.16128,1.16069,1.16073,609,0,0,609
2025-10-23T00:00:00Z,1.16073,1.16077,1.15979,1.16041,1326,0,0,1326
2025-10-23T01:00:00Z,1.16041,1.16055,1.15978,1.1598,1204,0,0,1204
2025-10-23T02:00:00Z,1.1598,1.15994,1.15951,1.15968,902,0,0,902
2025-10-23T03:00:00Z,1.15968,1.15988,1.15922,1.15931,806,0,0,806
2025-10-23T04:00:00Z,1.15931,1.15994,1.15907,1.1599,786,0,0,786
2025-10-23T05:00:00Z,1.1599,1.16042,1.15967,1.16015,929,0,0,929
2025-10-23T06:00:00Z,1.16013,1.16041,1.15905,1.15943,2304,0,0,2304
2025-10-23T07:00:00Z,1.15941,1.16015,1.1591,1.16,2563,0,0,2563
2025-10-23T08:00:00Z,1.16,1.16063,1.1593,1.15963,2106,0,0,2106
2025-10-23T09:00:00Z,1.15961,1.16005,1.15932,1.15937,1685,0,0,1685
2025-10-23T10:00:00Z,1.15937,1.15951,1.15857,1.15881,1537,0,0,1537
2025-10-23T11:00:00Z,1.1588,1.15929,1.15855,1.15872,1839,0,0,1839
2025-10-23T12:00:00Z,1.1587399999999999,1.16061,1.15866,1.16009,2441,0,0,2441
2025-10-23T13:00:00Z,1.16009,1.16107,1.15982,1.16067,3037,0,0,3037
2025-10-23T14:00:00Z,1.16067,1.162,1.16054,1.16131,3218,0,0,3218
2025-10-23T15:00:00Z,1.16133,1.16158,1.16064,1.16115,2528,0,0,2528
2025-10-23T16:00:00Z,1.16117,1.16162,1.16065,1.1607,1768,0,0,1768
2025-10-23T17:00:00Z,1.16069,1.16121,1.16045,1.16116,1497,0,0,1497
2025-10-23T18:00:00Z,1.16117,1.1618,1.16098,1.16175,1238,0,0,1238
2025-10-23T19:00:00Z,1.16175,1.16201,1.16153,1.16164,969,0,0,969
2025-10-23T20:00:00Z,1.16164,1.16194,1.16137,1.16184,703,0,0,703
2025-10-23T21:00:00Z,1.16185,1.16185,1.16151,1.16163,480,0,0,480
2025-10-23T22:00:00Z,1.16164,1.16214,1.16159,1.16181,591,0,0,591
2025-10-23T23:00:00Z,1.16181,1.16191,1.1615199999999999,1.16171,471,0,0,471
2025-10-24T00:00:00Z,1.16171,1.16215,1.16167,1.1618,1135,0,0,1135
2025-10-24T01:00:00Z,1.1618,1.16189,1.16088,1.16095,1163,0,0,1163
2025-10-24T02:00:00Z,1.16097,1.16126,1.16077,1.1608,867,0,0,867
2025-10-24T03:00:00Z,1.1608,1.1611799999999999,1.16072,1.1609099999999999,609,0,0,609
2025-10-24T04:00:00Z,1.1609099999999999,1.16092,1.1605699999999999,1.16076,667,0,0,667
2025-10-24T05:00:00Z,1.16075,1.16082,1.16017,1.16055,918,0,0,918
2025-10-24T06:00:00Z,1.16052,1.16141,1.16008,1.16136,1927,0,0,1927
2025-10-24T07:00:00Z,1.16134,1.16279,1.16019,1.16185,3539,0,0,3539
2025-10-24T08:00:00Z,1.16186,1.16238,1.16065,1.16104,2692,0,0,2692
2025-10-24T09:00:00Z,1.16104,1.16127,1.16053,1.1612,1826,0,0,1826
2025-10-24T10:00:00Z,1.1612,1.16167,1.1611,1.16127,1502,0,0,1502
2025-10-24T11:00:00Z,1.16127,1.16159,1.16071,1.1615,2131,0,0,2131
2025-10-24T12:00:00Z,1.16151,1.16549,1.16088,1.16343,6411,0,0,6411
2025-10-24T13:00:00Z,1.16345,1.16436,1.16206,1.1627,4883,0,0,4883
2025-10-24T14:00:00Z,1.16268,1.16358,1.16182,1.16259,4042,0,0,4042
